order,group,sample_index,track_id,mp3_path,true_label,pred_label,confidence,true_confidence,focus,listening_question,human_judgement,notes
1,A. High-confidence errors,5262,113305,data/fma_small/113/113305.mp3,Rock,Electronic,0.9626,0.0017,先判断这是模型明显错，还是标签/genre 边界本身模糊。重点听主导音色、节奏、人声、语言和整体风格。,如果不看 true label，你会选 pred_label 还是 true_label？,,
2,A. High-confidence errors,4470,99135,data/fma_small/099/099135.mp3,Electronic,International,0.8771,0.0042,先判断这是模型明显错，还是标签/genre 边界本身模糊。重点听主导音色、节奏、人声、语言和整体风格。,如果不看 true label，你会选 pred_label 还是 true_label？,,
3,A. High-confidence errors,2015,49477,data/fma_small/049/049477.mp3,Pop,Hip-Hop,0.8462,0.0366,先判断这是模型明显错，还是标签/genre 边界本身模糊。重点听主导音色、节奏、人声、语言和整体风格。,如果不看 true label，你会选 pred_label 还是 true_label？,,
4,A. High-confidence errors,5109,111386,data/fma_small/111/111386.mp3,Pop,Electronic,0.8119,0.0206,先判断这是模型明显错，还是标签/genre 边界本身模糊。重点听主导音色、节奏、人声、语言和整体风格。,如果不看 true label，你会选 pred_label 还是 true_label？,,
5,A. High-confidence errors,6298,126183,data/fma_small/126/126183.mp3,Instrumental,Rock,0.8102,0.0169,先判断这是模型明显错，还是标签/genre 边界本身模糊。重点听主导音色、节奏、人声、语言和整体风格。,如果不看 true label，你会选 pred_label 还是 true_label？,,
6,A. High-confidence errors,4564,104068,data/fma_small/104/104068.mp3,Pop,Rock,0.7944,0.1106,先判断这是模型明显错，还是标签/genre 边界本身模糊。重点听主导音色、节奏、人声、语言和整体风格。,如果不看 true label，你会选 pred_label 还是 true_label？,,
7,A. High-confidence errors,5311,114037,data/fma_small/114/114037.mp3,Hip-Hop,Instrumental,0.7887,0.0127,先判断这是模型明显错，还是标签/genre 边界本身模糊。重点听主导音色、节奏、人声、语言和整体风格。,如果不看 true label，你会选 pred_label 还是 true_label？,,
8,A. High-confidence errors,6922,132779,data/fma_small/132/132779.mp3,Pop,International,0.7806,0.0798,先判断这是模型明显错，还是标签/genre 边界本身模糊。重点听主导音色、节奏、人声、语言和整体风格。,如果不看 true label，你会选 pred_label 还是 true_label？,,
9,B. Pop -> Rock,6805,131436,data/fma_small/131/131436.mp3,Pop,Rock,0.7631,0.1107,听是否有吉他/鼓组/摇滚能量导致模型偏 Rock。,这首是否其实更像预测类别？Pop 标签是否过宽？,,
10,B. Pop -> Rock,2451,57435,data/fma_small/057/057435.mp3,Pop,Rock,0.747,0.0979,听是否有吉他/鼓组/摇滚能量导致模型偏 Rock。,这首是否其实更像预测类别？Pop 标签是否过宽？,,
11,B. Pop -> Rock,7284,138065,data/fma_small/138/138065.mp3,Pop,Rock,0.6952,0.1457,听是否有吉他/鼓组/摇滚能量导致模型偏 Rock。,这首是否其实更像预测类别？Pop 标签是否过宽？,,
12,B. Pop -> Rock,6812,131452,data/fma_small/131/131452.mp3,Pop,Rock,0.6768,0.1712,听是否有吉他/鼓组/摇滚能量导致模型偏 Rock。,这首是否其实更像预测类别？Pop 标签是否过宽？,,
13,B. Pop -> Electronic,2517,58474,data/fma_small/058/058474.mp3,Pop,Electronic,0.7133,0.1182,听是否合成器、电子鼓或制作感压过了 Pop 旋律。,这首是否其实更像预测类别？Pop 标签是否过宽？,,
14,B. Pop -> Electronic,4138,92124,data/fma_small/092/092124.mp3,Pop,Electronic,0.4584,0.1256,听是否合成器、电子鼓或制作感压过了 Pop 旋律。,这首是否其实更像预测类别？Pop 标签是否过宽？,,
15,B. Pop -> Folk,3931,87187,data/fma_small/087/087187.mp3,Pop,Folk,0.7748,0.0794,听是否 acoustic/民谣编曲让模型忽略了 Pop song structure。,这首是否其实更像预测类别？Pop 标签是否过宽？,,
16,B. Pop -> Folk,6495,127289,data/fma_small/127/127289.mp3,Pop,Folk,0.719,0.0859,听是否 acoustic/民谣编曲让模型忽略了 Pop song structure。,这首是否其实更像预测类别？Pop 标签是否过宽？,,
17,B. Pop -> International,1544,39658,data/fma_small/039/039658.mp3,Pop,International,0.6405,0.0864,听是否语言/地域音色让模型偏 International。,这首是否其实更像预测类别？Pop 标签是否过宽？,,
18,B. Pop -> Instrumental,3039,69182,data/fma_small/069/069182.mp3,Pop,Instrumental,0.7088,0.0447,听是否人声弱或缺失导致模型偏 Instrumental。,这首是否其实更像预测类别？Pop 标签是否过宽？,,
19,C. Experimental -> Instrumental,5006,110274,data/fma_small/110/110274.mp3,Experimental,Instrumental,0.765,0.094,听是否无明确人声/结构，导致模型把实验性理解成 Instrumental。,Experimental 标签是否太抽象？模型预测是否更具体、更符合听感？,,
20,C. Experimental -> Instrumental,6381,126512,data/fma_small/126/126512.mp3,Experimental,Instrumental,0.6395,0.1183,听是否无明确人声/结构，导致模型把实验性理解成 Instrumental。,Experimental 标签是否太抽象？模型预测是否更具体、更符合听感？,,
21,C. Experimental -> Instrumental,7342,139638,data/fma_small/139/139638.mp3,Experimental,Instrumental,0.6226,0.145,听是否无明确人声/结构，导致模型把实验性理解成 Instrumental。,Experimental 标签是否太抽象？模型预测是否更具体、更符合听感？,,
22,C. Experimental -> Electronic,1222,30090,data/fma_small/030/030090.mp3,Experimental,Electronic,0.6195,0.0718,听是否电子音色是主要线索。,Experimental 标签是否太抽象？模型预测是否更具体、更符合听感？,,
23,C. Experimental -> Electronic,1520,38912,data/fma_small/038/038912.mp3,Experimental,Electronic,0.5777,0.0998,听是否电子音色是主要线索。,Experimental 标签是否太抽象？模型预测是否更具体、更符合听感？,,
24,C. Experimental -> Rock,1785,44791,data/fma_small/044/044791.mp3,Experimental,Rock,0.6793,0.0225,听是否吉他/鼓组/噪声墙让模型偏 Rock。,Experimental 标签是否太抽象？模型预测是否更具体、更符合听感？,,
25,C. Experimental -> Rock,4913,109106,data/fma_small/109/109106.mp3,Experimental,Rock,0.5403,0.2374,听是否吉他/鼓组/噪声墙让模型偏 Rock。,Experimental 标签是否太抽象？模型预测是否更具体、更符合听感？,,
26,C. Experimental -> Folk,3375,74377,data/fma_small/074/074377.mp3,Experimental,Folk,0.6956,0.0439,听是否 acoustic texture 或弱节奏让模型偏 Folk。,Experimental 标签是否太抽象？模型预测是否更具体、更符合听感？,,
27,D. Hip-Hop -> Electronic,3135,70773,data/fma_small/070/070773.mp3,Hip-Hop,Electronic,0.7007,0.1287,听 beat、rap/vocal 是否弱，电子制作是否更突出。,这组混淆是否符合音乐直觉？两个标签哪个更合理？,,
28,D. Hip-Hop -> Electronic,3425,75386,data/fma_small/075/075386.mp3,Hip-Hop,Electronic,0.6403,0.185,听 beat、rap/vocal 是否弱，电子制作是否更突出。,这组混淆是否符合音乐直觉？两个标签哪个更合理？,,
29,D. Electronic -> Hip-Hop,2366,56034,data/fma_small/056/056034.mp3,Electronic,Hip-Hop,0.7677,0.0282,听是否强鼓点/节奏型让模型误判为 Hip-Hop。,这组混淆是否符合音乐直觉？两个标签哪个更合理？,,
30,D. Electronic -> Hip-Hop,5454,115321,data/fma_small/115/115321.mp3,Electronic,Hip-Hop,0.6733,0.1172,听是否强鼓点/节奏型让模型误判为 Hip-Hop。,这组混淆是否符合音乐直觉？两个标签哪个更合理？,,
31,D. International -> Folk,644,13539,data/fma_small/013/013539.mp3,International,Folk,0.7286,0.0755,听 acoustic/传统乐器与地域标签的边界。,这组混淆是否符合音乐直觉？两个标签哪个更合理？,,
32,D. International -> Folk,1470,38782,data/fma_small/038/038782.mp3,International,Folk,0.6945,0.0557,听 acoustic/传统乐器与地域标签的边界。,这组混淆是否符合音乐直觉？两个标签哪个更合理？,,
33,D. Rock -> Pop,4388,98077,data/fma_small/098/098077.mp3,Rock,Pop,0.4256,0.3476,听 chorus/旋律性是否让 Rock 被拉向 Pop。,这组混淆是否符合音乐直觉？两个标签哪个更合理？,,
34,D. Rock -> Pop,3946,87363,data/fma_small/087/087363.mp3,Rock,Pop,0.3616,0.3557,听 chorus/旋律性是否让 Rock 被拉向 Pop。,这组混淆是否符合音乐直觉？两个标签哪个更合理？,,
35,E. High-confidence correct controls,3722,84009,data/fma_small/084/084009.mp3,Folk,Folk,0.9347,0.9347,作为对照，听模型在 Folk 上学到的清晰 cue。,这首的 genre cue 是否非常明确？和前面的错分样本有什么区别？,,
36,E. High-confidence correct controls,3171,71255,data/fma_small/071/071255.mp3,Hip-Hop,Hip-Hop,0.964,0.964,作为对照，听模型在 Hip-Hop 上学到的清晰 cue。,这首的 genre cue 是否非常明确？和前面的错分样本有什么区别？,,
37,E. High-confidence correct controls,2561,59686,data/fma_small/059/059686.mp3,International,International,0.9332,0.9332,作为对照，听模型在 International 上学到的清晰 cue。,这首的 genre cue 是否非常明确？和前面的错分样本有什么区别？,,
38,E. High-confidence correct controls,4745,107799,data/fma_small/107/107799.mp3,Rock,Rock,0.9172,0.9172,作为对照，听模型在 Rock 上学到的清晰 cue。,这首的 genre cue 是否非常明确？和前面的错分样本有什么区别？,,
39,E. High-confidence correct controls,5363,114289,data/fma_small/114/114289.mp3,Electronic,Electronic,0.9174,0.9174,作为对照，听模型在 Electronic 上学到的清晰 cue。,这首的 genre cue 是否非常明确？和前面的错分样本有什么区别？,,
40,E. High-confidence correct controls,3879,86485,data/fma_small/086/086485.mp3,Instrumental,Instrumental,0.8514,0.8514,作为对照，听模型在 Instrumental 上学到的清晰 cue。,这首的 genre cue 是否非常明确？和前面的错分样本有什么区别？,,
