order,group,sample_index,track_id,mp3_path,true_label,pred_label,confidence,true_confidence,focus,listening_question,human_judgement,notes
1,A. High-confidence errors,5262,113305,data/fma_small/113/113305.mp3,Rock,Electronic,0.9539,0.0019,"First decide whether this is a clear model error or an ambiguous label/genre boundary. Focus on dominant timbre, rhythm, vocals, language, and overall style.","If you ignore the true label, would you choose the predicted label or the true label?",,
2,A. High-confidence errors,6495,127289,data/fma_small/127/127289.mp3,Pop,Folk,0.9357,0.0198,"First decide whether this is a clear model error or an ambiguous label/genre boundary. Focus on dominant timbre, rhythm, vocals, language, and overall style.","If you ignore the true label, would you choose the predicted label or the true label?",,
3,A. High-confidence errors,3931,87187,data/fma_small/087/087187.mp3,Pop,Folk,0.9192,0.0266,"First decide whether this is a clear model error or an ambiguous label/genre boundary. Focus on dominant timbre, rhythm, vocals, language, and overall style.","If you ignore the true label, would you choose the predicted label or the true label?",,
4,A. High-confidence errors,6805,131436,data/fma_small/131/131436.mp3,Pop,Rock,0.8811,0.0612,"First decide whether this is a clear model error or an ambiguous label/genre boundary. Focus on dominant timbre, rhythm, vocals, language, and overall style.","If you ignore the true label, would you choose the predicted label or the true label?",,
5,A. High-confidence errors,3375,74377,data/fma_small/074/074377.mp3,Experimental,Folk,0.8759,0.0177,"First decide whether this is a clear model error or an ambiguous label/genre boundary. Focus on dominant timbre, rhythm, vocals, language, and overall style.","If you ignore the true label, would you choose the predicted label or the true label?",,
6,A. High-confidence errors,5454,115321,data/fma_small/115/115321.mp3,Electronic,Hip-Hop,0.8556,0.0281,"First decide whether this is a clear model error or an ambiguous label/genre boundary. Focus on dominant timbre, rhythm, vocals, language, and overall style.","If you ignore the true label, would you choose the predicted label or the true label?",,
7,A. High-confidence errors,2492,58063,data/fma_small/058/058063.mp3,Experimental,Electronic,0.8519,0.0254,"First decide whether this is a clear model error or an ambiguous label/genre boundary. Focus on dominant timbre, rhythm, vocals, language, and overall style.","If you ignore the true label, would you choose the predicted label or the true label?",,
8,A. High-confidence errors,639,13362,data/fma_small/013/013362.mp3,Pop,International,0.8463,0.0576,"First decide whether this is a clear model error or an ambiguous label/genre boundary. Focus on dominant timbre, rhythm, vocals, language, and overall style.","If you ignore the true label, would you choose the predicted label or the true label?",,
9,B. Pop -> Rock,2451,57435,data/fma_small/057/057435.mp3,Pop,Rock,0.7523,0.1228,"Listen to whether guitars, drums, or rock-like energy cause the model to lean toward Rock.",Does this track actually sound closer to the predicted category? Is the Pop label too broad?,,
10,B. Pop -> Rock,902,21672,data/fma_small/021/021672.mp3,Pop,Rock,0.7457,0.1811,"Listen to whether guitars, drums, or rock-like energy cause the model to lean toward Rock.",Does this track actually sound closer to the predicted category? Is the Pop label too broad?,,
11,B. Pop -> Rock,4564,104068,data/fma_small/104/104068.mp3,Pop,Rock,0.7361,0.1893,"Listen to whether guitars, drums, or rock-like energy cause the model to lean toward Rock.",Does this track actually sound closer to the predicted category? Is the Pop label too broad?,,
12,B. Pop -> Rock,5895,121592,data/fma_small/121/121592.mp3,Pop,Rock,0.7105,0.1394,"Listen to whether guitars, drums, or rock-like energy cause the model to lean toward Rock.",Does this track actually sound closer to the predicted category? Is the Pop label too broad?,,
13,B. Pop -> International,2788,64365,data/fma_small/064/064365.mp3,Pop,International,0.7283,0.0991,"Listen for language, regional instrumentation, or production cues that may pull Pop toward International.",Does this track actually sound closer to the predicted category? Is the Pop label too broad?,,
14,B. Pop -> International,2235,54234,data/fma_small/054/054234.mp3,Pop,International,0.6544,0.1139,"Listen for language, regional instrumentation, or production cues that may pull Pop toward International.",Does this track actually sound closer to the predicted category? Is the Pop label too broad?,,
15,B. Pop -> Folk,6089,123509,data/fma_small/123/123509.mp3,Pop,Folk,0.7533,0.0208,Listen for acoustic instrumentation or singer-songwriter texture that may make Pop resemble Folk.,Does this track actually sound closer to the predicted category? Is the Pop label too broad?,,
16,B. Pop -> Folk,1271,32332,data/fma_small/032/032332.mp3,Pop,Folk,0.7310,0.0685,Listen for acoustic instrumentation or singer-songwriter texture that may make Pop resemble Folk.,Does this track actually sound closer to the predicted category? Is the Pop label too broad?,,
17,B. Pop -> Instrumental,3700,83511,data/fma_small/083/083511.mp3,Pop,Instrumental,0.5468,0.0826,"Listen to whether vocals are absent, sparse, or mixed low enough that Pop becomes hard to identify.",Does this track actually sound closer to the predicted category? Is the Pop label too broad?,,
18,B. Pop -> Experimental,2532,59454,data/fma_small/059/059454.mp3,Pop,Experimental,0.5162,0.0767,"Listen for unusual structure, texture, or production choices that may make Pop sound less conventional.",Does this track actually sound closer to the predicted category? Is the Pop label too broad?,,
19,C. Experimental -> Instrumental,7344,139681,data/fma_small/139/139681.mp3,Experimental,Instrumental,0.7848,0.1006,Listen to whether the absence of vocals or ambient texture makes Experimental collapse into Instrumental.,"Which cue is stronger: the Experimental label, or the predicted conventional genre?",,
20,C. Experimental -> Instrumental,3678,82890,data/fma_small/082/082890.mp3,Experimental,Instrumental,0.7701,0.0552,Listen to whether the absence of vocals or ambient texture makes Experimental collapse into Instrumental.,"Which cue is stronger: the Experimental label, or the predicted conventional genre?",,
21,C. Experimental -> Instrumental,5575,116709,data/fma_small/116/116709.mp3,Experimental,Instrumental,0.6599,0.2216,Listen to whether the absence of vocals or ambient texture makes Experimental collapse into Instrumental.,"Which cue is stronger: the Experimental label, or the predicted conventional genre?",,
22,C. Experimental -> Pop,5678,118489,data/fma_small/118/118489.mp3,Experimental,Pop,0.3915,0.0361,"Listen for melody, hook, or vocal structure that may make Experimental sound closer to Pop.","Which cue is stronger: the Experimental label, or the predicted conventional genre?",,
23,C. Experimental -> Pop,2359,56015,data/fma_small/056/056015.mp3,Experimental,Pop,0.3913,0.0281,"Listen for melody, hook, or vocal structure that may make Experimental sound closer to Pop.","Which cue is stronger: the Experimental label, or the predicted conventional genre?",,
24,C. Experimental -> Folk,5686,118505,data/fma_small/118/118505.mp3,Experimental,Folk,0.5097,0.1362,Listen for acoustic timbre or sparse arrangement that may obscure the Experimental label.,"Which cue is stronger: the Experimental label, or the predicted conventional genre?",,
25,C. Experimental -> Rock,1785,44791,data/fma_small/044/044791.mp3,Experimental,Rock,0.7058,0.0331,Listen for guitar-driven energy or band texture that may pull Experimental toward Rock.,"Which cue is stronger: the Experimental label, or the predicted conventional genre?",,
26,C. Experimental -> Electronic,344,7377,data/fma_small/007/007377.mp3,Experimental,Electronic,0.6713,0.0941,"Listen for synthetic timbres, loops, or electronic production that may dominate the Experimental cues.","Which cue is stronger: the Experimental label, or the predicted conventional genre?",,
27,D. Hip-Hop -> Electronic,3135,70773,data/fma_small/070/070773.mp3,Hip-Hop,Electronic,0.7872,0.0757,Listen to whether electronic production overwhelms rap/beat cues and pulls Hip-Hop toward Electronic.,Does this confusion make musical sense? Which of the two labels is more reasonable?,,
28,D. Hip-Hop -> Electronic,7551,142668,data/fma_small/142/142668.mp3,Hip-Hop,Electronic,0.7683,0.1417,Listen to whether electronic production overwhelms rap/beat cues and pulls Hip-Hop toward Electronic.,Does this confusion make musical sense? Which of the two labels is more reasonable?,,
29,D. Rock -> Pop,3123,70409,data/fma_small/070/070409.mp3,Rock,Pop,0.5094,0.3013,"Listen to whether chorus, melody, or polished production makes Rock sound Pop-like.",Does this confusion make musical sense? Which of the two labels is more reasonable?,,
30,D. Rock -> Pop,1150,28266,data/fma_small/028/028266.mp3,Rock,Pop,0.4688,0.2373,"Listen to whether chorus, melody, or polished production makes Rock sound Pop-like.",Does this confusion make musical sense? Which of the two labels is more reasonable?,,
31,D. Rock -> Folk,1605,40903,data/fma_small/040/040903.mp3,Rock,Folk,0.5129,0.0741,Listen for acoustic instrumentation or softer performance that may blur Rock with Folk.,Does this confusion make musical sense? Which of the two labels is more reasonable?,,
32,D. Rock -> Folk,6000,122620,data/fma_small/122/122620.mp3,Rock,Folk,0.4280,0.0666,Listen for acoustic instrumentation or softer performance that may blur Rock with Folk.,Does this confusion make musical sense? Which of the two labels is more reasonable?,,
33,D. Instrumental -> Folk,5203,112976,data/fma_small/112/112976.mp3,Instrumental,Folk,0.5892,0.2155,Listen for acoustic/traditional instrumentation that may make Instrumental sound like Folk.,Does this confusion make musical sense? Which of the two labels is more reasonable?,,
34,D. Instrumental -> Folk,4898,108883,data/fma_small/108/108883.mp3,Instrumental,Folk,0.4983,0.1780,Listen for acoustic/traditional instrumentation that may make Instrumental sound like Folk.,Does this confusion make musical sense? Which of the two labels is more reasonable?,,
35,E. High-confidence correct controls,4928,109448,data/fma_small/109/109448.mp3,Folk,Folk,0.9601,0.9601,"As a control example, listen for the clear cues the model has learned for this genre.",Are the genre cues in this track very clear? How does it differ from the misclassified examples?,,
36,E. High-confidence correct controls,2509,58212,data/fma_small/058/058212.mp3,Hip-Hop,Hip-Hop,0.9854,0.9854,"As a control example, listen for the clear cues the model has learned for this genre.",Are the genre cues in this track very clear? How does it differ from the misclassified examples?,,
37,E. High-confidence correct controls,2577,59724,data/fma_small/059/059724.mp3,International,International,0.9739,0.9739,"As a control example, listen for the clear cues the model has learned for this genre.",Are the genre cues in this track very clear? How does it differ from the misclassified examples?,,
38,E. High-confidence correct controls,154,3763,data/fma_small/003/003763.mp3,Rock,Rock,0.9640,0.9640,"As a control example, listen for the clear cues the model has learned for this genre.",Are the genre cues in this track very clear? How does it differ from the misclassified examples?,,
39,E. High-confidence correct controls,6233,125293,data/fma_small/125/125293.mp3,Electronic,Electronic,0.9670,0.9670,"As a control example, listen for the clear cues the model has learned for this genre.",Are the genre cues in this track very clear? How does it differ from the misclassified examples?,,
40,E. High-confidence correct controls,6274,125819,data/fma_small/125/125819.mp3,Instrumental,Instrumental,0.9564,0.9564,"As a control example, listen for the clear cues the model has learned for this genre.",Are the genre cues in this track very clear? How does it differ from the misclassified examples?,,
